Prosodic Collocational Patterns of ZAI and ZHENGZAI in classical Chinese,,,
Verbs,ZAI,ZHENGZAI,Number of syllables
艳羡,0,2,disyllabic lexical items
苦劝,0,1,disyllabic lexical items
苦念李夫人,0,1,polysyllabic lexical items
苦求,0,1,disyllabic lexical items
落后,1,0,disyllabic lexical items
蒙尘,1,0,disyllabic lexical items
藏躱,1,0,disyllabic lexical items
虔修,1,0,disyllabic lexical items
蠢蠢欲动,1,0,polysyllabic lexical items
行凶,0,2,disyllabic lexical items
行役,1,0,disyllabic lexical items
行礼,0,1,disyllabic lexical items
行走,0,3,disyllabic lexical items
衔恨,0,1,disyllabic lexical items
要与那马成龙拚命,0,1,polysyllabic lexical items
要寻公馆搬上岸雇夫上省,0,1,polysyllabic lexical items
要换,0,1,disyllabic lexical items
要杀,0,1,disyllabic lexical items
要看状,0,1,polysyllabic lexical items
要银子,0,1,polysyllabic lexical items
见着,0,1,disyllabic lexical items
观察,1,0,disyllabic lexical items
观望,1,4,disyllabic lexical items
观玩,0,3,disyllabic lexical items
观看,0,22,disyllabic lexical items
观看山景,0,1,polysyllabic lexical items
观看景致,0,1,polysyllabic lexical items
观看殿廓,0,1,polysyllabic lexical items
观览,0,1,disyllabic lexical items
观阵,0,1,disyllabic lexical items
视事,0,1,disyllabic lexical items
觉得去住两难,0,1,polysyllabic lexical items
解劝,0,1,disyllabic lexical items
言,1,0,monosyllabic lexical items
言语,0,1,disyllabic lexical items
言说,0,1,disyllabic lexical items
言谈,0,6,disyllabic lexical items
言谈嗟叹,0,1,polysyllabic lexical items
計議圍蘭取鞏,0,1,polysyllabic lexical items
講究清訟,0,1,polysyllabic lexical items
議復,0,1,disyllabic lexical items
计划,2,0,disyllabic lexical items
计无所出,0,1,polysyllabic lexical items
计算为难,0,1,polysyllabic lexical items
计算你我,0,1,polysyllabic lexical items
计议,0,4,disyllabic lexical items
计议和议的方针,0,1,polysyllabic lexical items
讨战,0,1,disyllabic lexical items
让坐,0,2,disyllabic lexical items
让坐问话,0,1,polysyllabic lexical items
议争,0,1,disyllabic lexical items
议事,0,5,disyllabic lexical items
议论,1,25,disyllabic lexical items
议论上巡抚彭大人那里送信调集官兵,0,1,polysyllabic lexical items
议论仙姑所说的消息,0,1,polysyllabic lexical items
议论余鸿法术拿人,0,1,polysyllabic lexical items
议论军机大事,0,1,polysyllabic lexical items
议论如何拿贼,0,1,polysyllabic lexical items
议论纷纷,0,2,polysyllabic lexical items
议论道姑遇到公子,0,1,polysyllabic lexical items
议论降守之策,0,1,polysyllabic lexical items
讲交情,0,1,polysyllabic lexical items
讲得热闹,0,1,polysyllabic lexical items
讲得高兴,0,2,polysyllabic lexical items
讲的热闹,0,1,polysyllabic lexical items
讲究,0,1,disyllabic lexical items
讲经,0,1,disyllabic lexical items
讲解,0,1,disyllabic lexical items
讲论,0,2,disyllabic lexical items
讲话,2,10,disyllabic lexical items
讲这南船入岛的事故,0,1,polysyllabic lexical items
论古,0,1,disyllabic lexical items
设朝,0,2,disyllabic lexical items
设法借贷,0,1,polysyllabic lexical items
设计,0,1,disyllabic lexical items
访拿打听,0,1,polysyllabic lexical items
访道,2,0,disyllabic lexical items
评论得高兴,0,1,polysyllabic lexical items
试花,0,1,disyllabic lexical items
话旧谈心,0,1,polysyllabic lexical items
询问,0,1,disyllabic lexical items
诧异,1,10,disyllabic lexical items
诧愕,0,1,disyllabic lexical items
误桃花,1,0,polysyllabic lexical items
说,0,1,monosyllabic lexical items
说个破敌之策是怎么样儿,1,0,polysyllabic lexical items
说些邪活,1,0,polysyllabic lexical items
说俏皮话儿,0,1,polysyllabic lexical items
说得情投意合,0,1,polysyllabic lexical items
说得痛快,0,1,polysyllabic lexical items
说得高兴,0,3,polysyllabic lexical items
说我,1,0,disyllabic lexical items
说我的来意,0,1,polysyllabic lexical items
说打仗的事情,1,0,polysyllabic lexical items
说法,1,0,disyllabic lexical items
说父王肯不肯,1,0,polysyllabic lexical items
说着,0,17,disyllabic lexical items
说着话,0,2,polysyllabic lexical items
说笑,0,6,disyllabic lexical items
说笑话,0,1,polysyllabic lexical items
说话,1,28,disyllabic lexical items
说起张士贵攻打关头,0,1,polysyllabic lexical items
说这种人是贼骨头,0,1,polysyllabic lexical items
说这话,0,1,polysyllabic lexical items
说那个三太子有几枝火箭利害,1,0,polysyllabic lexical items
请不着先生,0,2,polysyllabic lexical items
请客,1,0,disyllabic lexical items
读书,2,1,disyllabic lexical items
读什么书,1,0,polysyllabic lexical items
读左传,0,1,polysyllabic lexical items
调侃他,1,0,polysyllabic lexical items
调兵,0,1,disyllabic lexical items
调情,0,1,disyllabic lexical items
调拨人马,0,1,polysyllabic lexical items
调理,2,1,disyllabic lexical items
调笑,0,1,disyllabic lexical items
调遣人马,0,1,polysyllabic lexical items
谈,0,1,monosyllabic lexical items
谈得热闹,0,1,polysyllabic lexical items
谈得高兴,0,1,polysyllabic lexical items
谈心,0,1,disyllabic lexical items
谈心叙话,0,1,polysyllabic lexical items
谈的高兴,0,1,polysyllabic lexical items
谈着话,0,3,polysyllabic lexical items
谈笑,0,2,disyllabic lexical items
谈论,0,22,disyllabic lexical items
谈论秦始皇帝如何致死的问题,0,1,polysyllabic lexical items
谈论药酒之事,0,1,polysyllabic lexical items
谈话,0,1,disyllabic lexical items
谈说,0,1,disyllabic lexical items
谈谈笑笑,0,1,polysyllabic lexical items
谑谈,0,1,disyllabic lexical items
谓千骑曰,0,1,polysyllabic lexical items
谦让,1,0,disyllabic lexical items
负屈,0,1,disyllabic lexical items
责备徐寿,0,1,polysyllabic lexical items
责骂,1,0,disyllabic lexical items
贪看十三妹在墙上题的那折词儿,0,1,polysyllabic lexical items
贪看景致,0,1,polysyllabic lexical items
赏欢,0,1,disyllabic lexical items
赐祭,1,0,disyllabic lexical items
赞叹,0,2,disyllabic lexical items
赞羡,2,0,disyllabic lexical items
走,0,2,monosyllabic lexical items
走得头昏,0,1,polysyllabic lexical items
走投无路,0,1,polysyllabic lexical items
走着,0,2,disyllabic lexical items
走过无数的号舍,0,2,polysyllabic lexical items
赶你,1,0,disyllabic lexical items
赶打,0,1,disyllabic lexical items
赶打喽卒,0,1,polysyllabic lexical items
赶着走,1,0,polysyllabic lexical items
赶逐野兽,0,1,polysyllabic lexical items
起行,0,4,disyllabic lexical items
起风作浪,0,1,polysyllabic lexical items
趑趄,1,0,disyllabic lexical items
足蠕,1,0,disyllabic lexical items
跑,1,1,monosyllabic lexical items
跑去,0,1,disyllabic lexical items
跑着,0,1,disyllabic lexical items
跳了水,0,1,polysyllabic lexical items
跳舞不休,1,0,polysyllabic lexical items
踌思,0,1,disyllabic lexical items
踌蹰,0,2,disyllabic lexical items
踌躇,3,53,disyllabic lexical items
踌躇不下,0,1,polysyllabic lexical items
踌躇不决,0,1,polysyllabic lexical items
踌躇不定,0,1,polysyllabic lexical items
踌躇无处安歇,0,1,polysyllabic lexical items
踌躇脱身之计,0,1,polysyllabic lexical items
踌躇设法,0,1,polysyllabic lexical items
踌躇费想,0,1,polysyllabic lexical items
蹦踏,0,1,disyllabic lexical items
躲来躲去,0,1,polysyllabic lexical items
转回来,0,1,polysyllabic lexical items
转念,0,1,disyllabic lexical items
轮转,0,2,disyllabic lexical items
辟邪,1,0,disyllabic lexical items
辨贼,0,1,disyllabic lexical items
辩论,0,1,disyllabic lexical items
辱骂,1,0,disyllabic lexical items
辱骂讨战,0,1,polysyllabic lexical items
过桥,0,1,disyllabic lexical items
迎面直打,1,0,polysyllabic lexical items
运功夫,0,1,polysyllabic lexical items
进城讨限,0,1,polysyllabic lexical items
进膳,1,0,disyllabic lexical items
进行我的任务,0,1,polysyllabic lexical items
进退两难,0,3,polysyllabic lexical items
进退无路,0,1,polysyllabic lexical items
迟疑,2,14,disyllabic lexical items
迟疑不决,0,1,polysyllabic lexical items
追去,0,1,disyllabic lexical items
追忆寻索,0,1,polysyllabic lexical items
追思,0,1,disyllabic lexical items
追思前事,0,1,polysyllabic lexical items
追捕你,0,1,polysyllabic lexical items
追擒那盗取首级的奸细,0,1,polysyllabic lexical items
追杀各打手,0,1,polysyllabic lexical items
追杀小和尚,1,0,polysyllabic lexical items
追杀逃走的喽罗,1,0,polysyllabic lexical items
追论这班奸臣的亲族,0,1,polysyllabic lexical items
追赶,0,3,disyllabic lexical items
追问这事的结果,1,0,polysyllabic lexical items
送性命,1,0,polysyllabic lexical items
送茶,0,1,disyllabic lexical items
送饭,0,1,disyllabic lexical items
逃,69,0,monosyllabic lexical items
逃奔,0,2,disyllabic lexical items
逃避,0,1,disyllabic lexical items
逐捕,0,1,disyllabic lexical items
速行,1,0,disyllabic lexical items
逡巡,2,0,disyllabic lexical items
逡廵,3,0,disyllabic lexical items
逢场作戏,0,1,polysyllabic lexical items
遍体酥麻,0,1,polysyllabic lexical items
遍看那些挽联挽诗,0,1,polysyllabic lexical items
遮拦隔架,0,1,polysyllabic lexical items
遵奉御旨,0,1,polysyllabic lexical items
部署,2,0,disyllabic lexical items
酣战,0,8,disyllabic lexical items
酣斗,0,1,disyllabic lexical items
酣睡,2,1,disyllabic lexical items
酬酢,0,1,disyllabic lexical items
醋妒他两个,0,1,polysyllabic lexical items
鏖战,0,1,disyllabic lexical items
铺张,1,0,disyllabic lexical items
铺砌未完,0,1,polysyllabic lexical items
锐盛,0,1,disyllabic lexical items
闪、砍、劈、剁,0,1,polysyllabic lexical items
问心,0,1,disyllabic lexical items
问我嫂子,0,1,polysyllabic lexical items
问打,0,1,disyllabic lexical items
问答,0,1,disyllabic lexical items
问起根由,0,1,polysyllabic lexical items
问道士兄弟要凭据,0,1,polysyllabic lexical items
闲争闲讲,0,1,polysyllabic lexical items
闲坐,0,1,disyllabic lexical items
闲坐吃茶,1,0,polysyllabic lexical items
闲散,1,0,disyllabic lexical items
闲游过去,0,1,polysyllabic lexical items
闲立,0,1,disyllabic lexical items
闲讲,0,1,disyllabic lexical items
闲话,0,4,disyllabic lexical items
闲谈,0,13,disyllabic lexical items
闲谈论,0,1,polysyllabic lexical items
闲谈闲论,0,1,polysyllabic lexical items
闷倦,0,1,disyllabic lexical items
闷闷不乐,0,1,polysyllabic lexical items
闹吵,0,1,disyllabic lexical items
闹得烟雾尘天,0,1,polysyllabic lexical items
闹得起劲,0,1,polysyllabic lexical items
闹的筋疲力尽,0,1,polysyllabic lexical items
阅课,0,1,disyllabic lexical items
附耳议论,0,1,polysyllabic lexical items
陪伴,1,0,disyllabic lexical items
随口乱嘈,0,1,polysyllabic lexical items
难保,1,0,disyllabic lexical items
难分难解,0,1,polysyllabic lexical items
难解难分,0,2,polysyllabic lexical items
雷鸣,0,1,disyllabic lexical items
需人,0,1,disyllabic lexical items
静候,0,1,disyllabic lexical items
静候捷音,0,1,polysyllabic lexical items
静听上头的问话预备对付,0,1,polysyllabic lexical items
静领,1,0,disyllabic lexical items
靠着水寨，正要动手,0,1,polysyllabic lexical items
顶嘴,0,1,disyllabic lexical items
顺着他的小手远远望去,0,1,polysyllabic lexical items
顽的高兴,0,1,polysyllabic lexical items
预备出城,0,1,polysyllabic lexical items
预备招架,0,1,polysyllabic lexical items
预备阅卷,0,1,polysyllabic lexical items
预防张府,0,1,polysyllabic lexical items
颠沛,1,0,disyllabic lexical items
飄零,1,0,disyllabic lexical items
飞舞,1,0,disyllabic lexical items
飞行,0,1,disyllabic lexical items
食羊,0,1,disyllabic lexical items
饥,0,1,monosyllabic lexical items
饥饿,0,4,disyllabic lexical items
饬查问,0,1,polysyllabic lexical items
饮得高兴,0,1,polysyllabic lexical items
饮酒,1,6,disyllabic lexical items
饮酒作乐,0,1,polysyllabic lexical items
驰奔,0,1,disyllabic lexical items
驰注,0,1,disyllabic lexical items
驱驰,1,0,disyllabic lexical items
骂,1,0,monosyllabic lexical items
骂不绝声,0,1,polysyllabic lexical items
骂得高兴,0,1,polysyllabic lexical items
骂战,0,1,disyllabic lexical items
高兴,1,10,disyllabic lexical items
高谈,1,1,disyllabic lexical items
高谈阔论,0,2,polysyllabic lexical items
鬼弄,1,0,disyllabic lexical items
鲜血淋漓挖那五脏心肝出来,0,1,polysyllabic lexical items
鳏居,0,1,disyllabic lexical items
鸣,1,0,monosyllabic lexical items
默念自己的居室,0,1,polysyllabic lexical items
鼾睡,0,1,disyllabic lexical items
龃龉,0,1,disyllabic lexical items
