Prosodic Collocational Patterns of ZAI and ZHENGZAI in modern Chinese,,,,
Verbs,ZAI,ZHENGZAI,Number of syllables,
发生深刻变革,0,1,polysyllabic lexical items,
发生深刻变化,0,2,polysyllabic lexical items,
发生什么,0,1,polysyllabic lexical items,
发生什么变化,0,1,polysyllabic lexical items,
发生什么事,1,0,polysyllabic lexical items,
发生什么事儿,0,3,polysyllabic lexical items,
发生什么事情,0,1,polysyllabic lexical items,
发生新变化,0,1,polysyllabic lexical items,
发生一次巨大的衍变,0,1,polysyllabic lexical items,
发生一个巨大的变化,0,1,polysyllabic lexical items,
发生质的嬗变,0,1,polysyllabic lexical items,
发生重大的变革,0,1,polysyllabic lexical items,
发生重大的改变,0,1,polysyllabic lexical items,
发生重要变化,0,1,polysyllabic lexical items,
发生作用,2,0,polysyllabic lexical items,
发烫,2,0,disyllabic lexical items,
发疼,2,0,disyllabic lexical items,
发痛,2,0,disyllabic lexical items,
发威,0,1,disyllabic lexical items,
发问,1,0,disyllabic lexical items,
发现年轻的标志,1,0,polysyllabic lexical items,
发现问题、解决问题,1,0,polysyllabic lexical items,
发笑,1,0,disyllabic lexical items,
发些微汗,1,0,polysyllabic lexical items,
发新闻,1,0,polysyllabic lexical items,
发薪,1,0,disyllabic lexical items,
发言介绍,1,0,polysyllabic lexical items,
发扬,1,1,disyllabic lexical items,
发痒,1,0,disyllabic lexical items,
发议论,1,0,polysyllabic lexical items,
发展,61,30,disyllabic lexical items,
发展变化,1,0,polysyllabic lexical items,
发展国内的交通事业,0,1,polysyllabic lexical items,
发展合成橡胶工业,1,0,polysyllabic lexical items,
发展和加强,1,0,polysyllabic lexical items,
发展和坚持,0,1,polysyllabic lexical items,
发展核武器,3,0,polysyllabic lexical items,
发展经济,1,0,polysyllabic lexical items,
发展旅游业,1,0,polysyllabic lexical items,
发展生态观光农业,0,1,polysyllabic lexical items,
发展我,0,1,polysyllabic lexical items,
发展一个能集合所有的菁良人民的方案,1,0,polysyllabic lexical items,
发展这个事业,0,1,polysyllabic lexical items,
发展壮大,1,1,polysyllabic lexical items,
翻床头柜的抽屉,1,0,polysyllabic lexical items,
翻电话号码本,1,0,polysyllabic lexical items,
翻旧社会的老黄历,1,0,polysyllabic lexical items,
翻身,1,1,disyllabic lexical items,
翻什么东西,1,0,polysyllabic lexical items,
翻手头的几个存折,1,0,polysyllabic lexical items,
翻书,2,0,disyllabic lexical items,
翻腾,4,0,disyllabic lexical items,
翻小贝的存折,1,0,polysyllabic lexical items,
翻译罗思的《鬼作家》,0,1,polysyllabic lexical items,
反抗,1,0,disyllabic lexical items,
反抗法西斯色彩日益浓厚的日本资产阶级政府,0,1,polysyllabic lexical items,
反省、思考,1,0,polysyllabic lexical items,
反省它,0,1,polysyllabic lexical items,
犯法,1,0,disyllabic lexical items,
犯罪,2,0,disyllabic lexical items,
防备他,1,0,polysyllabic lexical items,
访问英国,0,1,polysyllabic lexical items,
放,2,0,monosyllabic lexical items,
放爆竹,2,0,polysyllabic lexical items,
放鞭炮,1,0,polysyllabic lexical items,
放冲天炮,1,0,polysyllabic lexical items,
放动画片,0,1,polysyllabic lexical items,
放风筝,2,0,polysyllabic lexical items,
放光,1,0,disyllabic lexical items,
放机关枪,1,0,polysyllabic lexical items,
放那首歌,1,0,polysyllabic lexical items,
放鸟铳过年,0,1,polysyllabic lexical items,
放屁,2,0,disyllabic lexical items,
放钱,1,0,disyllabic lexical items,
放枪,1,0,disyllabic lexical items,
放土炮,1,0,polysyllabic lexical items,
放我的鸽子,1,0,polysyllabic lexical items,
放小跑,1,0,polysyllabic lexical items,
放些什么狗屁,1,0,polysyllabic lexical items,
放焰火,1,0,polysyllabic lexical items,
放野火,1,0,polysyllabic lexical items,
放一个八路军打国军的电视连续剧,1,0,polysyllabic lexical items,
飞,9,0,monosyllabic lexical items,
飞出柴达木,0,1,polysyllabic lexical items,
飞来,0,3,disyllabic lexical items,
分菜,1,0,disyllabic lexical items,
分饭菜,0,1,polysyllabic lexical items,
分果实,0,1,polysyllabic lexical items,
分离出去,0,1,polysyllabic lexical items,
粉碎敌人的‘围剿’,0,1,polysyllabic lexical items,
粉碎原子弹,0,1,polysyllabic lexical items,
奋斗,4,9,disyllabic lexical items,
奋斗什么,1,0,polysyllabic lexical items,
缝,1,0,monosyllabic lexical items,
缝补衬衣,0,1,polysyllabic lexical items,
缝皮袄,1,0,polysyllabic lexical items,
缝旗子,1,0,polysyllabic lexical items,
缝什么,1,0,polysyllabic lexical items,
缝他衣肩上那个破洞,1,0,polysyllabic lexical items,
缝小衣、小帽,0,1,polysyllabic lexical items,
缝鞋,0,1,disyllabic lexical items,
缝一只包裹,1,0,polysyllabic lexical items,
缝衣,1,0,disyllabic lexical items,
爱一切人,1,0,polysyllabic lexical items,
服务,5,0,disyllabic lexical items,
抚摸,1,0,disyllabic lexical items,
抚摸我们的窗户,0,1,polysyllabic lexical items,
辅导孩子们功课,0,1,polysyllabic lexical items,
复习考研究生,0,1,polysyllabic lexical items,
改,1,0,monosyllabic lexical items,
改编为原子师,0,1,polysyllabic lexical items,
改变,10,6,disyllabic lexical items,
改变地球,1,0,polysyllabic lexical items,
改变防务政策,0,1,polysyllabic lexical items,
改变近百年来的电视传播,0,1,polysyllabic lexical items,
改变山区面貌,1,0,polysyllabic lexical items,
改变世界的看法,0,1,polysyllabic lexical items,
改变世界力量对比,0,1,polysyllabic lexical items,
改变他们的精神,2,0,polysyllabic lexical items,
改变我们的生活以及理解世界的方式,0,1,polysyllabic lexical items,
改变颜色,1,0,polysyllabic lexical items,
改变饮食习惯,0,1,polysyllabic lexical items,
改变这种劣势,0,1,polysyllabic lexical items,
改变中国,0,1,polysyllabic lexical items,
改变中国慈善事业的全貌,0,1,polysyllabic lexical items,
改变自己命运,0,1,polysyllabic lexical items,
改变做法,0,1,polysyllabic lexical items,
改革,4,1,disyllabic lexical items,
改进,1,1,disyllabic lexical items,
改进服务方式,1,0,polysyllabic lexical items,
改进和提高,1,0,polysyllabic lexical items,
改进生产日用品的技术设备,0,1,polysyllabic lexical items,
改进组织工作,0,1,polysyllabic lexical items,
改良什么玩意儿,1,0,polysyllabic lexical items,
改善,8,3,disyllabic lexical items,
改善外国投资和经营环境,0,1,polysyllabic lexical items,
改善外国在华投资环境,0,1,polysyllabic lexical items,
改算术作业,1,0,polysyllabic lexical items,
改台词,1,0,polysyllabic lexical items,
改造,2,0,disyllabic lexical items,
改造这一技术,0,1,polysyllabic lexical items,
改正,1,0,disyllabic lexical items,
改作文卷子,0,1,polysyllabic lexical items,
盖房子,1,0,polysyllabic lexical items,
赶,2,0,monosyllabic lexical items,
赶工,1,0,disyllabic lexical items,
赶回家,0,1,polysyllabic lexical items,
赶来,1,1,disyllabic lexical items,
赶路,1,0,disyllabic lexical items,
赶骡子运盐,0,1,polysyllabic lexical items,
赶上经济恢复,0,1,polysyllabic lexical items,
赶时髦,1,0,polysyllabic lexical items,
赶我走,1,0,polysyllabic lexical items,
干,1,1,monosyllabic lexical items,
干活,2,3,disyllabic lexical items,
干吗,8,1,disyllabic lexical items,
干嘛,3,0,disyllabic lexical items,
干没脸的事,1,0,polysyllabic lexical items,
干啥,5,0,disyllabic lexical items,
干什么,45,1,polysyllabic lexical items,
干什么把戏,1,0,polysyllabic lexical items,
干什么不可告人的勾当,1,0,polysyllabic lexical items,
干事,1,0,disyllabic lexical items,
干喜事,1,0,polysyllabic lexical items,
干现代化,1,0,polysyllabic lexical items,
干些什么,2,0,polysyllabic lexical items,
干些什么事情,1,0,polysyllabic lexical items,
干一九八年的活,1,0,polysyllabic lexical items,
干这个,3,0,polysyllabic lexical items,
干这个生活,1,0,polysyllabic lexical items,
干这号买卖,1,0,polysyllabic lexical items,
干这行,1,0,polysyllabic lexical items,
干正事,1,0,polysyllabic lexical items,
干自己的事情,1,0,polysyllabic lexical items,
搞,2,1,monosyllabic lexical items,
搞“联甲倒乙”的继续革命,0,1,polysyllabic lexical items,
搞“体外活动”,1,0,polysyllabic lexical items,
搞“演习”准备反攻,0,1,polysyllabic lexical items,
搞爱民工作,1,0,polysyllabic lexical items,
搞穿梭外交,1,0,polysyllabic lexical items,
搞大扫除,1,0,polysyllabic lexical items,
搞大跃进,1,0,polysyllabic lexical items,
搞第三十四个对象,1,0,polysyllabic lexical items,
搞颠复活动,1,0,polysyllabic lexical items,
搞复辟,1,0,polysyllabic lexical items,
搞鬼,2,0,disyllabic lexical items,
搞和平攻势,0,1,polysyllabic lexical items,
搞花样,1,0,polysyllabic lexical items,
搞缓和,0,1,polysyllabic lexical items,
搞基建,1,0,polysyllabic lexical items,
搞加工,1,0,polysyllabic lexical items,
搞建设,1,0,polysyllabic lexical items,
搞可行性研究,1,0,polysyllabic lexical items,
搞恋爱,2,0,polysyllabic lexical items,
搞秘密计划,1,0,polysyllabic lexical items,
搞你的英语,1,0,polysyllabic lexical items,
搞山头,1,0,polysyllabic lexical items,
搞什么鬼,5,0,polysyllabic lexical items,
搞什么名堂,2,0,polysyllabic lexical items,
搞什么私下活动,1,0,polysyllabic lexical items,
搞什么幽默,1,0,polysyllabic lexical items,
搞四化,1,0,polysyllabic lexical items,
搞糖衣炮弹,1,0,polysyllabic lexical items,
搞威胁,1,0,polysyllabic lexical items,
搞我的电视机,1,0,polysyllabic lexical items,
搞修改《安全条约》勾当,1,0,polysyllabic lexical items,
搞夜战,1,0,polysyllabic lexical items,
搞诈骗,1,0,polysyllabic lexical items,
搞这个,1,0,polysyllabic lexical items,
搞争权夺利的把戏,1,0,polysyllabic lexical items,
搞中枢神经系统以及一些穴位的研究,0,1,polysyllabic lexical items,
告诉敌人,1,0,polysyllabic lexical items,
告诉街市上的人民,1,0,polysyllabic lexical items,
告诉你,1,0,polysyllabic lexical items,
告诉你应该如何处事做人,1,0,polysyllabic lexical items,
告诉人们,4,0,polysyllabic lexical items,
告诉苏联的领袖说我们在准备最终的一战,1,0,polysyllabic lexical items,
告诉他,1,2,polysyllabic lexical items,
告诉她,1,0,polysyllabic lexical items,
告诉她隐情,1,0,polysyllabic lexical items,
告诉我,2,0,polysyllabic lexical items,
告诉我们,2,0,polysyllabic lexical items,
告诉我们什么是爱,1,0,polysyllabic lexical items,
割爸爸的耳朵,1,0,polysyllabic lexical items,
割麦,1,0,disyllabic lexical items,
割麦子,1,0,polysyllabic lexical items,
割他的心,2,0,polysyllabic lexical items,
割她的肉,1,0,polysyllabic lexical items,
割小海心上的肉,1,0,polysyllabic lexical items,
割野草,1,0,polysyllabic lexical items,
给出自己的答案,0,1,polysyllabic lexical items,
给我织毛衣,1,0,polysyllabic lexical items,
给这两句话找出处,1,0,polysyllabic lexical items,
给自己寻找最好的发型,1,0,polysyllabic lexical items,
嫉妒青青,4,0,polysyllabic lexical items,
工作,19,11,disyllabic lexical items,
攻击,2,0,disyllabic lexical items,
攻击他的部队所扼守的险要的阵地玉皇顶,0,1,polysyllabic lexical items,
攻击我底理想,1,0,polysyllabic lexical items,
攻击武昌之激战,1,0,polysyllabic lexical items,
贡献出他们的才能和智慧,0,1,polysyllabic lexical items,
贡献芳香的花,1,0,polysyllabic lexical items,
贡献自己的力量,0,1,polysyllabic lexical items,
鼓动张学良宣布独立,1,0,polysyllabic lexical items,
鼓励,1,0,disyllabic lexical items,
鼓励侵略分子的活动,1,0,polysyllabic lexical items,
鼓励他,1,0,polysyllabic lexical items,
鼓励外来投资,0,1,polysyllabic lexical items,
鼓励医生提高技法,1,0,polysyllabic lexical items,
刮,3,0,monosyllabic lexical items,
刮风,2,0,disyllabic lexical items,
刮风下雨,1,0,polysyllabic lexical items,
刮自己身体,1,0,polysyllabic lexical items,
挂电话,0,1,polysyllabic lexical items,
挂衣服,0,1,polysyllabic lexical items,
嫉妒他的走红,1,0,polysyllabic lexical items,
羡慕出家,1,0,polysyllabic lexical items,
羡慕他们底幸福,1,0,polysyllabic lexical items,
怪自己,1,0,polysyllabic lexical items,
关闭模拟进程,0,1,polysyllabic lexical items,
关闭寨门,0,1,polysyllabic lexical items,
羡慕我底好运,1,0,polysyllabic lexical items,
渴望触摸对方,1,0,polysyllabic lexical items,
渴望寻找一只完整的沙发,1,0,polysyllabic lexical items,
盼,1,0,monosyllabic lexical items,
盼望,1,1,disyllabic lexical items,
盼望回来,1,0,polysyllabic lexical items,
盼望七月四日那一个周末的到来,0,1,polysyllabic lexical items,
盼望这一天,1,0,polysyllabic lexical items,
关注,1,0,disyllabic lexical items,
关注前南地区的形势发展,1,0,polysyllabic lexical items,
关注他,1,0,polysyllabic lexical items,
关注这一事件,1,0,polysyllabic lexical items,
关注这种探索,0,1,polysyllabic lexical items,
关注中国的发展,2,0,polysyllabic lexical items,
关注自己家庭生活质量的提高,1,0,polysyllabic lexical items,
观察工艺流程图,1,0,polysyllabic lexical items,
观察记录舱内状况,1,0,polysyllabic lexical items,
观察你,1,0,polysyllabic lexical items,
观察他,1,0,polysyllabic lexical items,
观察他的反应,1,0,polysyllabic lexical items,
观察他们,1,0,polysyllabic lexical items,
观察他们的拥抱,1,0,polysyllabic lexical items,
观察天气,1,0,polysyllabic lexical items,
观察我,1,0,polysyllabic lexical items,
观察五个人的踪影,0,1,polysyllabic lexical items,
观察许叔微,1,0,polysyllabic lexical items,
观察与研究和五金相关的市场状况,1,0,polysyllabic lexical items,
观察这场斗争,1,0,polysyllabic lexical items,
观察这间小小的楼房,0,1,polysyllabic lexical items,
观察这位新闻业大亨,1,0,polysyllabic lexical items,
观察周围的动,1,0,polysyllabic lexical items,
观察周围的动静,1,0,polysyllabic lexical items,
观察朱丹溪,1,0,polysyllabic lexical items,
观察自己,1,0,polysyllabic lexical items,
观察自己培养的豆苗,1,0,polysyllabic lexical items,
管,1,0,monosyllabic lexical items,
管理,1,0,disyllabic lexical items,
管钱,1,0,disyllabic lexical items,
管羊,1,0,disyllabic lexical items,
管整个制作,1,0,polysyllabic lexical items,
贯彻党的十四届六中全会精神,0,1,polysyllabic lexical items,
贯彻落实,0,1,polysyllabic lexical items,
贯彻落实科学发展观,0,4,polysyllabic lexical items,
贯彻落实新发展理念,0,1,polysyllabic lexical items,
贯彻落实这一方针,0,1,polysyllabic lexical items,
贯彻群众路线大力进行整改,0,1,polysyllabic lexical items,
贯彻十一大路线、深入开展三大革命运动、为在本世纪内实现四个现代化而斗争,0,1,polysyllabic lexical items,
贯彻十一届三中全会精神,0,1,polysyllabic lexical items,
广播一个女明星头部的影象,0,1,polysyllabic lexical items,
逛,1,0,monosyllabic lexical items,
滚,2,1,monosyllabic lexical items,
滚西瓜,1,0,polysyllabic lexical items,
滚雪球,1,0,polysyllabic lexical items,
过节,2,0,disyllabic lexical items,
过年,2,0,disyllabic lexical items,
过日子,1,0,polysyllabic lexical items,
过什么样的日子,1,0,polysyllabic lexical items,
过圣诞节,1,0,polysyllabic lexical items,
过痛苦的生活,1,0,polysyllabic lexical items,
过星期天,0,1,polysyllabic lexical items,
咳嗽,5,0,disyllabic lexical items,
还款,1,0,disyllabic lexical items,
还她的情,1,0,polysyllabic lexical items,
盼望周榕的消息,1,0,polysyllabic lexical items,
盼这一天,1,0,polysyllabic lexical items,
热切盼望我们党的领导干部都应该像孔繁森那样,1,0,polysyllabic lexical items,
喊,44,0,monosyllabic lexical items,
喊“救命”,1,0,polysyllabic lexical items,
喊叫,5,0,disyllabic lexical items,
喊叫啥子,1,0,polysyllabic lexical items,
喊口号,4,0,polysyllabic lexical items,
喊口令,1,0,polysyllabic lexical items,
喊啦啦词,1,0,polysyllabic lexical items,
喊你,4,0,disyllabic lexical items,
喊婆婆,1,0,polysyllabic lexical items,
喊谁站住,1,0,polysyllabic lexical items,
喊什么,2,0,polysyllabic lexical items,
喊什么‘中日亲善',1,0,polysyllabic lexical items,
喊什么‘中日亲善’,0,1,polysyllabic lexical items,
喊他,4,0,disyllabic lexical items,
喊她,5,0,disyllabic lexical items,
喊她下楼接客,1,0,polysyllabic lexical items,
喊我,10,0,disyllabic lexical items,
喊小白,1,0,polysyllabic lexical items,
喊冤,1,0,disyllabic lexical items,
希望人类,1,0,polysyllabic lexical items,
号召保证“军属三不难”,1,0,polysyllabic lexical items,
号召创造北方苏维埃,1,0,polysyllabic lexical items,
号召有多少销路,1,0,polysyllabic lexical items,
喝,4,0,monosyllabic lexical items,
喝白兰地,0,1,polysyllabic lexical items,
喝茶,3,5,disyllabic lexical items,
喝茶聊天,1,0,polysyllabic lexical items,
喝鸡汁汤,0,2,polysyllabic lexical items,
喝酒,13,3,disyllabic lexical items,
喝酒谈笑,0,1,polysyllabic lexical items,
喝李梅亭房里新沏的开水,0,1,polysyllabic lexical items,
喝啤酒,1,0,polysyllabic lexical items,
喝什么,1,0,polysyllabic lexical items,
喝稀饭,0,1,polysyllabic lexical items,
喝一种从没有看到过的饮料,1,0,polysyllabic lexical items,
合大家力量,1,0,polysyllabic lexical items,
合作一个项目,0,1,polysyllabic lexical items,
希望人类将要从新发明中取得幸福,1,0,polysyllabic lexical items,
希望我做长篇呢,1,0,polysyllabic lexical items,
哄抢,1,0,disyllabic lexical items,
哄她,2,0,disyllabic lexical items,
哄我,2,0,disyllabic lexical items,
哄一个小孩儿吃奶,1,0,polysyllabic lexical items,
吼,2,0,monosyllabic lexical items,
后悔,4,0,disyllabic lexical items,
后悔没有打着它,0,1,polysyllabic lexical items,
后悔昨晚不该停下休息过久,0,1,polysyllabic lexical items,
呼唤他的乳名,1,0,polysyllabic lexical items,
呼唤她的名字,1,0,polysyllabic lexical items,
呼唤我的名字,1,0,polysyllabic lexical items,
呼唤一个人的名字,1,0,polysyllabic lexical items,
呼唤一种“令行禁止”的企业作风,1,0,polysyllabic lexical items,
呼吸,2,0,disyllabic lexical items,
希望这个陌生的女孩子，能够参加到他们的行列里面,1,0,polysyllabic lexical items,
互相帮助,1,0,polysyllabic lexical items,
花,1,0,monosyllabic lexical items,
化,1,0,monosyllabic lexical items,
化脓,0,1,disyllabic lexical items,
化雪,1,1,disyllabic lexical items,
化妆,2,0,disyllabic lexical items,
化装,1,0,disyllabic lexical items,
划出厚黑区域,0,1,polysyllabic lexical items,
划船,2,0,disyllabic lexical items,
画,2,1,monosyllabic lexical items,
画“北京人”,0,1,polysyllabic lexical items,
画“冻伤实验”,1,0,polysyllabic lexical items,
画画,1,0,disyllabic lexical items,
画袈裟,1,0,polysyllabic lexical items,
画漫画,1,0,polysyllabic lexical items,
画什么,1,0,polysyllabic lexical items,
画图样,1,0,polysyllabic lexical items,
画椭圆形的展开图,0,1,polysyllabic lexical items,
画一个方形的圆圈,2,0,polysyllabic lexical items,
画最新最美的画图,1,0,polysyllabic lexical items,
怀念死去的付老爷,1,0,polysyllabic lexical items,
怀念她,1,0,polysyllabic lexical items,
怀念周总理,1,0,polysyllabic lexical items,
怀念主人消失的肉体,1,0,polysyllabic lexical items,
指望她邀请他明天去帮忙一样,1,0,polysyllabic lexical items,
仇恨他,1,0,polysyllabic lexical items,
恨他,1,0,disyllabic lexical items,
恨我,1,0,disyllabic lexical items,
欢迎和乌云一道降临的薄暮,1,0,polysyllabic lexical items,
欢迎他回来,1,0,polysyllabic lexical items,
欢迎我们,1,0,polysyllabic lexical items,
幻想从战争中去寻找逃出危机的道路,0,1,polysyllabic lexical items,
幻想著自己,1,0,polysyllabic lexical items,
换,0,1,monosyllabic lexical items,
换钱,1,0,disyllabic lexical items,
换土,0,1,disyllabic lexical items,
换药,0,1,disyllabic lexical items,
换衣服,1,1,polysyllabic lexical items,
换装,1,0,disyllabic lexical items,
换桌围椅垫,1,0,polysyllabic lexical items,
换自来水管,1,0,polysyllabic lexical items,
晃动,10,1,disyllabic lexical items,
恢复,5,1,disyllabic lexical items,
恢复发展,1,2,polysyllabic lexical items,
恢复技术职称、建立技术责任制,1,0,polysyllabic lexical items,
恢复稳定,0,1,polysyllabic lexical items,
恢复正常,0,1,polysyllabic lexical items,
恢复正常秩序,0,1,polysyllabic lexical items,
回答,5,0,disyllabic lexical items,
回答别人的询问,1,0,polysyllabic lexical items,
回答党所提出的一个问题,1,0,polysyllabic lexical items,
回答李宗仁的问话,1,0,polysyllabic lexical items,
回答琴,1,0,polysyllabic lexical items,
回答琴的问话,0,1,polysyllabic lexical items,
回答他,1,1,polysyllabic lexical items,
回答她,2,1,polysyllabic lexical items,
回答她的祝愿,1,0,polysyllabic lexical items,
回头看我,1,0,polysyllabic lexical items,
回忆,4,0,disyllabic lexical items,
回忆过去,1,0,polysyllabic lexical items,
回忆过去的生活,3,0,polysyllabic lexical items,
回忆黄因明所说的梁刚夫和秋敏的秘密事件,1,0,polysyllabic lexical items,
回忆那些内容,1,0,polysyllabic lexical items,
回忆你们如花似锦的童年,1,0,polysyllabic lexical items,
回忆往事,1,0,polysyllabic lexical items,
昏迷,2,0,disyllabic lexical items,
混,1,0,monosyllabic lexical items,
混日子,1,0,polysyllabic lexical items,
爱护孩子,1,0,polysyllabic lexical items,
保留实力,1,0,polysyllabic lexical items,
活动,15,5,disyllabic lexical items,
保证,2,0,disyllabic lexical items,
获得,0,1,disyllabic lexical items,
获得多数支持,0,1,polysyllabic lexical items,
获得解决,0,1,polysyllabic lexical items,
获得进展,0,1,polysyllabic lexical items,
获得适当解决,0,1,polysyllabic lexical items,
积累,1,0,disyllabic lexical items,
集合,1,0,disyllabic lexical items,
集中,1,0,disyllabic lexical items,
集中大部分利润于产业贤米家之毛,1,0,polysyllabic lexical items,
保证青藏公路祖国的血脉畅通,1,0,polysyllabic lexical items,
比喻它的精神,1,0,polysyllabic lexical items,
挤,1,1,monosyllabic lexical items,
挤进视线,1,0,polysyllabic lexical items,
挤奶,0,1,disyllabic lexical items,
计划,0,2,disyllabic lexical items,
计划采伐,0,1,polysyllabic lexical items,
计划开展这里的群众工作,0,1,polysyllabic lexical items,
计划扩大业务范围,1,0,polysyllabic lexical items,
计划有重点地有步骤地建立少年儿童队,1,0,polysyllabic lexical items,
计算,0,1,disyllabic lexical items,
计算谁来看我,1,0,polysyllabic lexical items,
计算什么,2,0,polysyllabic lexical items,
计算怎样”教训”那野马似的多多头,1,0,polysyllabic lexical items,
记,1,0,monosyllabic lexical items,
纪念孙总理,1,0,polysyllabic lexical items,
纪念我,1,0,polysyllabic lexical items,
加班,2,0,disyllabic lexical items,
加班工作,1,1,polysyllabic lexical items,
加木柴,0,1,polysyllabic lexical items,
加强,11,5,disyllabic lexical items,
加强对老挝的控制,1,0,polysyllabic lexical items,
加强反腐力度,1,0,polysyllabic lexical items,
加强海军,0,1,polysyllabic lexical items,
"加强合作,相互协商",0,1,polysyllabic lexical items,
加强军事进攻力量,0,1,polysyllabic lexical items,
加强控制,1,0,polysyllabic lexical items,
加强美国在近东的地位,1,0,polysyllabic lexical items,
加强他们的阵地,1,0,polysyllabic lexical items,
加强团结,1,0,polysyllabic lexical items,
加速,2,0,disyllabic lexical items,
加速调整升级,0,1,polysyllabic lexical items,
加速发展,1,0,polysyllabic lexical items,
加速复活日本军国主义,1,0,polysyllabic lexical items,
加速建设,0,1,polysyllabic lexical items,
加速蒋介石和傅作义的灭亡,0,1,polysyllabic lexical items,
加速进行,1,0,polysyllabic lexical items,
加速扩散,0,1,polysyllabic lexical items,
加速落地,0,1,polysyllabic lexical items,
加速释放,0,1,polysyllabic lexical items,
加速提质,0,1,polysyllabic lexical items,
加速兴建,0,1,polysyllabic lexical items,
加速修建拖拉机站,0,1,polysyllabic lexical items,
加速修建一个雷达基地,0,1,polysyllabic lexical items,
加以解决,0,1,polysyllabic lexical items,
加以克服,0,1,polysyllabic lexical items,
加以仔细研究,0,1,polysyllabic lexical items,
加以重建与恢复,0,1,polysyllabic lexical items,
加长,0,1,disyllabic lexical items,
加重,2,0,disyllabic lexical items,
加重全球普通消费者的负担,0,1,polysyllabic lexical items,
鄙夷他,1,0,polysyllabic lexical items,
打算,2,0,disyllabic lexical items,
打算另想法子,1,0,polysyllabic lexical items,
打算落笔的辞句,0,1,polysyllabic lexical items,
打算去,0,1,polysyllabic lexical items,
打算使德国成为新战争的温床,1,0,polysyllabic lexical items,
坚强战斗,1,0,polysyllabic lexical items,
监督和观察演员们,1,0,polysyllabic lexical items,
监视,0,1,disyllabic lexical items,
监视敌情,0,1,polysyllabic lexical items,
监视东北方,0,1,polysyllabic lexical items,
煎鱼,0,1,disyllabic lexical items,
捡鸭蛋,0,1,polysyllabic lexical items,
检查产品质量,0,1,polysyllabic lexical items,
检查发电设备运行情况,1,0,polysyllabic lexical items,
检查缴获的制假设备,1,0,polysyllabic lexical items,
检查螺撑是否漏水,0,1,polysyllabic lexical items,
检查每一个要过江的人,1,0,polysyllabic lexical items,
检查群众纪律,1,0,polysyllabic lexical items,
检查身体和进行治疗,0,1,polysyllabic lexical items,
减少,15,1,disyllabic lexical items,
减少包装垃圾,1,0,polysyllabic lexical items,
减税,1,0,disyllabic lexical items,
减速,1,1,disyllabic lexical items,
减速慢行,1,0,polysyllabic lexical items,
剪“北京人”的影子,1,0,polysyllabic lexical items,
剪整齐,0,1,polysyllabic lexical items,
剪枝,0,1,disyllabic lexical items,
剪烛花,1,0,polysyllabic lexical items,
建成上海的“药谷”和“生物谷”,0,1,polysyllabic lexical items,
建成新牧区,0,1,polysyllabic lexical items,
建立,2,5,disyllabic lexical items,
建立罕见病大数据库,0,1,polysyllabic lexical items,
建立和完善,0,1,polysyllabic lexical items,
建立基地,1,0,polysyllabic lexical items,
建立金融投资系统,1,0,polysyllabic lexical items,
建立巨型同步稳相加速器,1,0,polysyllabic lexical items,
建立联系,0,1,polysyllabic lexical items,
建立配合美国侵略的战争体制,0,1,polysyllabic lexical items,
建立新的反对修正主义的党和小组,1,0,polysyllabic lexical items,
建立新型战略关系,0,1,polysyllabic lexical items,
建立一个法西斯的中国,0,1,polysyllabic lexical items,
建立一支庞大的军队,0,1,polysyllabic lexical items,
建立自己的生物识别系统,1,0,polysyllabic lexical items,
建设,0,14,disyllabic lexical items,
建设“绿色宝库”,1,0,polysyllabic lexical items,
建设肚会主义,1,0,polysyllabic lexical items,
建设国家数控机床工程研究中心,0,2,polysyllabic lexical items,
建设核电站,0,1,polysyllabic lexical items,
建设科创中心核心承载区和综合性国家科学中心,0,1,polysyllabic lexical items,
建设露天滑冰场和四季旱雪滑雪场,0,1,polysyllabic lexical items,
建设全国最大的科学研究机构之一,0,1,polysyllabic lexical items,
建设热带季风区云降水观测试验基地,0,1,polysyllabic lexical items,
建设社会主义,1,2,polysyllabic lexical items,
建设社会主义市场经济,0,1,polysyllabic lexical items,
建设十几层的新大厦,0,1,polysyllabic lexical items,
建设世界上第一个千伏直流输电工程,0,1,polysyllabic lexical items,
建设新的科学考察破冰船,0,1,polysyllabic lexical items,
建设新生活,0,1,polysyllabic lexical items,
建设新治病区,0,1,polysyllabic lexical items,
建设一个繁荣、文明、和谐、宜居的现代化城市,0,1,polysyllabic lexical items,
建设一个富强的社会主义的中国,0,1,polysyllabic lexical items,
建设有中国特色社会主义的国家,0,1,polysyllabic lexical items,
建设智慧城市,0,1,polysyllabic lexical items,
建筑,0,2,disyllabic lexical items,
建筑火柴厂、糖厂、肥皂厂和榨油厂,0,1,polysyllabic lexical items,
建筑机车库、车站、发电站和水站等,0,1,polysyllabic lexical items,
建筑线路,1,0,polysyllabic lexical items,
将财富转移到香港与美帝国主义正在加紧进行控制的华南,0,1,polysyllabic lexical items,
讲,13,1,monosyllabic lexical items,
讲《三国演义》,1,0,polysyllabic lexical items,
讲别人的事,1,0,polysyllabic lexical items,
讲创造财富和盈利,1,0,polysyllabic lexical items,
讲粗话,1,0,polysyllabic lexical items,
讲爹的坏话,1,0,polysyllabic lexical items,
讲反语,1,0,polysyllabic lexical items,
讲古,1,0,disyllabic lexical items,
讲古代中医的故事,1,0,polysyllabic lexical items,
讲故事,2,0,polysyllabic lexical items,
